name,title,company,seniority_tier,function_category,role,conference_name,year,session_title,linkedin_url,total_appearances
Jeanne DeWitt Grosser,COO,Vercel,c_level,operations,speaker,Dreamforce,2026,,https://www.linkedin.com/in/jeannedewitt,11
Dario Amodei,Co-Founder & CEO,Anthropic,c_level,other,speaker,INBOUND,2026,How AI Will Transform Business in the Next 18 Months,https://www.linkedin.com/in/dario-amodei-3934934,10
Dario Amodei,Co-Founder & CEO,Anthropic,c_level,other,speaker,Dreamforce,2026,,https://www.linkedin.com/in/dario-amodei-3934934,10
Kerry Cunningham,Head of Research & Thought Leadership,6sense,head_of,other,speaker,INBOUND,2026,State of HubSpot: How the Best Do It Different,https://www.linkedin.com/in/kerrycunningham,10
Mati Staniszewski,Co-Founder & CEO,ElevenLabs,c_level,other,speaker,INBOUND,2026,Building Your AI-Powered GTM Engine: The Future Tech Stack,https://uk.linkedin.com/in/matiii,10
Mati Staniszewski,Co-Founder & CEO,ElevenLabs,c_level,other,speaker,Dreamforce,2026,,https://uk.linkedin.com/in/matiii,10
Olivier Godement,Head of Platform,OpenAI,head_of,engineering,speaker,INBOUND,2026,Inside the AI Ecosystem: How Platforms Win Together,https://www.linkedin.com/in/oliviergodement,10
Olivier Godement,Head of Platform,OpenAI,head_of,engineering,speaker,Dreamforce,2026,,https://www.linkedin.com/in/oliviergodement,10
Yamini Rangan,CEO,HubSpot,c_level,other,speaker,INBOUND,2026,HubSpot Spotlight,https://www.linkedin.com/in/yaminirangan,10
Sangram Vajre,,GTM Partners,unknown,other,speaker,INBOUND,2026,"GTM Growth Decoded: 100 Companies, 3 Stages, 1 System",https://www.linkedin.com/in/sangramvajre,8
Dharmesh Shah,Co-Founder & CTO,HubSpot,c_level,other,speaker,INBOUND,2026,You To The Power of AI,https://www.linkedin.com/in/dharmesh,7
Aaron Schmaltz,,HubSpot,unknown,other,speaker,INBOUND,2026,Lab: From Data Chaos to Clarity With HubSpot Smart CRM,https://www.linkedin.com/in/aaronschmaltz,6
Absolute Sales Development,,,unknown,other,speaker,Sandler Summit,2026,How supportive are your selling beliefs... and how much is it costing you?,,6
Adam Stevenson,,HubSpot,unknown,other,speaker,INBOUND,2026,"Connect the Dots With Breeze Assistant, Your AI Chief-Of-Staff",https://www.linkedin.com/in/adammarcstevenson,6
Aja Frost,,HubSpot,unknown,other,speaker,INBOUND,2026,How to Show Up in ChatGPT: HubSpot’s Winning AEO Playbook,https://www.linkedin.com/in/ajafrost,6
Alana Nicol,,,unknown,other,speaker,Sandler Summit,2026,Sandler Your Way: How to Flex the System Without Breaking the Rules,,6
Alex Weber,,,unknown,other,keynote,Sandler Summit,2026,"American Ninja Warrior, Award-Winning Leader, Entertainer",,6
Alicia Silverstone,"Actor, Author & Activist",,unknown,other,speaker,Dreamforce,2026,,,6
Allan Thygesen,CEO,Docusign,c_level,other,speaker,Dreamforce,2026,,https://www.linkedin.com/in/allanthygesen,6
Ally Siegel,Chief Equality and Engagement Officer,Salesforce,unknown,other,speaker,Dreamforce,2026,,,6
Alon Arvatz,CEO,PointFive,c_level,other,speaker,Dreamforce,2026,,https://il.linkedin.com/in/alon-arvatz,6
Amanda Kopen,,HubSpot,unknown,other,speaker,INBOUND,2026,How to Win at AEO With Zero Budget,https://www.linkedin.com/in/amanda-kopen,6
America Ferrera,"Award-Winning Actor, Director & Producer",,director,other,speaker,Dreamforce,2026,,,6
Amy Franko,,,unknown,other,speaker,OutBound Conference,2026,,https://linkedin.com/in/AmyFranko,6
Andrew Ng,"Founder, DeepLearning.AI; Managing General Partner",AI Fund,c_level,people,speaker,Dreamforce,2026,,https://www.linkedin.com/in/andrewyng,6
Angela DeFranco,,HubSpot,unknown,other,speaker,INBOUND,2026,Inside Marketing Hub: Reclaiming Purpose in Marketing,https://www.linkedin.com/in/angela-defranco-b579423b,6
Anthony Iannarino,Sales Kickoff Speaker,Best Selling Author,unknown,sales,speaker,OutBound Conference,2026,,http://www.linkedin.com/in/iannarino,6
Ari Echt-Wilson,,HubSpot,unknown,other,speaker,INBOUND,2026,AI Email That Converts—Without Sounding Like a Robot,https://fr.linkedin.com/in/ariechtwilson,6
Athina Kanioura,"EVP, Chief Strategy & Transformation Officer",PepsiCo,c_level,other,speaker,Dreamforce,2026,,https://www.linkedin.com/in/dr-athina-kanioura,6
Ayesha Javed,Senior Editor,TIME,senior,other,speaker,Dreamforce,2026,,https://www.linkedin.com/in/ayesha-javed-08446b290,6
Baratunde Thurston,"Writer, Activist & Comedian",,unknown,other,speaker,Dreamforce,2026,,,6
Barinder Rasode,Co-Founder & CEO,Tersa,c_level,other,speaker,Dreamforce,2026,,https://ca.linkedin.com/in/barinder-rasode-b0160226,6
Berkeley Harris,,,unknown,other,speaker,Sandler Summit,2026,The Human Code in the Age of AI Sales,,6
Bozoma Saint John,Forbes’ #1 Most Influential CMO,,c_level,marketing,speaker,Dreamforce,2026,,,6
Brad Lightcap,COO,OpenAI,c_level,operations,speaker,Dreamforce,2026,,https://www.linkedin.com/in/bradlightcap,6
Brenna Zenaty,,HubSpot,unknown,other,speaker,INBOUND,2026,Lab: From Data Chaos to Clarity With HubSpot Smart CRM,https://www.linkedin.com/in/brenna-zenaty,6
Brett Adcock,Founder & CEO,Figure,c_level,other,speaker,Dreamforce,2026,,https://www.linkedin.com/in/brettadcock,6
Brian Kavicky,,,unknown,other,speaker,Sandler Summit,2026,The Devil is in the Details,,6
Brian Minick,,ZeroBounce,unknown,other,speaker,INBOUND,2026,"Teardown Live! Data Pitfalls, Fixes, and Hidden Gems",https://www.linkedin.com/in/brian-minick,6
Brian Niccol,Chairman & CEO,Starbucks Coffee Company,c_level,data,speaker,Dreamforce,2026,,https://www.linkedin.com/in/brianniccol,6
Bryan Johnson,Founder & CEO,Blueprint & Don’t Die,c_level,other,speaker,Dreamforce,2026,,https://www.linkedin.com/in/bryanrjohnson,6
Bryson DeChambeau,2x Major Championship Winner,"Captain, Crushers GC",unknown,other,speaker,Dreamforce,2026,,,6
Cal Thomas,,,unknown,other,speaker,Sandler Summit,2026,The Signal vs Noise: The Hidden Variable to Success,,6
Carlos Garrido,,,unknown,other,speaker,Sandler Summit,2026,How supportive are your selling beliefs... and how much is it costing you?,,6
Carole Mahoney,,Unbound Growth,unknown,other,speaker,INBOUND,2026,Founder-Led Sales: How to Win Paying Customers,https://www.linkedin.com/in/carolemahoney,6
Catherine Nichols,Chief Accessibility Officer,Salesforce,unknown,other,speaker,Dreamforce,2026,,https://www.linkedin.com/in/catherinecnichols,6
Chandni Desai,,HubSpot,unknown,other,speaker,INBOUND,2026,Meetup: Sales and Revenue Leader Roundtable,https://in.linkedin.com/in/chandni-desai,6
Chase Lochmiller,Co-Founder & CEO,Crusoe,c_level,other,speaker,Dreamforce,2026,,https://www.linkedin.com/in/chase-lochmiller-604483341,6
Chris Drouin,,,unknown,other,speaker,Sandler Summit,2026,The Psychology Behind the 30-Second Commercial,,6
Chris Kelly,,,unknown,other,speaker,Sandler Summit,2026,The Signal vs Noise: The Hidden Variable to Success,,6
Chris McDonell,,,unknown,other,speaker,Sandler Summit,2026,Know Your Buyer: Selling to the Person Behind the Persona,,6
Christian van Maaren,Founder & CEO,Excess Materials Exchange,c_level,other,speaker,Dreamforce,2026,,https://nl.linkedin.com/in/cvanmaaren,6
Clint Babcock,,,unknown,other,speaker,Sandler Summit,2026,Sandler Your Way: How to Flex the System Without Breaking the Rules,,6
Colleen Stanley,Keynote Speaker,Best Selling Author,unknown,other,speaker,OutBound Conference,2026,,https://www.linkedin.com/in/colleenstanleysli/,6
Curtis Schroeder,,,unknown,other,speaker,Sandler Summit,2026,The Signal vs Noise: The Hidden Variable to Success,,6
Custom Growth Solutions,,,unknown,other,speaker,Sandler Summit,2026,The Power of Presence: Staying Focused and In Control in Sales Conversations,,6
Dahlia El Gazzar,,DAHLIA+Agency,unknown,other,speaker,INBOUND,2026,Meetup: Event Pros Insider Strategies and Networking,https://www.linkedin.com/in/queenofevents,6
Dale Bertrand,,Fire&Spark,unknown,other,speaker,INBOUND,2026,Zero-Click SEO Conversion Strategies: AI and Google Search,https://www.linkedin.com/in/dalebertrand,6
